// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> -1st beat- BAD EPISODE.Lost Memories
<0000> -1st beat- BAD EPISODE.Lost Memories
{0047} 0a // 0000

//<0001> 恐らく、一晩は経ったのだろう。
<0001> 恐らく、一晩は経ったのだろう。
<7936> ドピュッシー

//<7937> アメリカンエロドッグ
<7937> アメリカンエロドッグ

//<7938> ゼウス
<7938> ゼウス

//<7939> 日向markⅡ
<7939> 日向markⅡ

//<7940> 糞虫
<7940> 糞虫

//<7941> 量産型日向
<7941> 量産型日向

//<7942> ？？
<7942> ？？

//<7943> 「コンピューター部」
<7943> 「コンピューター部」

//<7944> 阿部
<7944> 阿部

//<7945> 「なんだ、わかってんじゃん。その通りだ。とっとと行けよ」
<7945> 「なんだ、わかってんじゃん。その通りだ。とっとと行けよ」

//<7946> そもそもその場所がわからないが、一般生徒に教えてもらい、なんとか辿り着く。
<7946> そもそもその場所がわからないが、一般生徒に教えてもらい、なんとか辿り着く。

//<7947> コンピューター部という表札がドアに貼られていた。
<7947> コンピューター部という表札がドアに貼られていた。

//<7948> se_knock
<7948> se_knock

//<7949> こんこんこんと三度ノックし、部屋に入った。
<7949> こんこんこんと三度ノックし、部屋に入った。

//<7950> se_keyboard
<7950> se_keyboard

//<7951> 黙々とパソコンのキーボードを叩いている部員たちが居た。
<7951> 黙々とパソコンのキーボードを叩いている部員たちが居た。

//<7952> その中、ひとりの部長らしき生徒が俺を見つけて、やってくる。
<7952> その中、ひとりの部長らしき生徒が俺を見つけて、やってくる。

//<7953> コンピ部部長
<7953> コンピ部部長

//<7954> 「デバッガーの人数が足りていない！　音無、頼めるか！？」
<7954> 「デバッガーの人数が足りていない！　音無、頼めるか！？」

//<7955> 音無
<7955> 音無

//<7956> クソ坊主
<7956> クソ坊主

//<7957> 代理人
<7957> 代理人

//<7958> 微妙すぎるイケメン
<7958> 微妙すぎるイケメン

//<7959> ロリコン
<7959> ロリコン

//<7960> メガネ仲間
<7960> メガネ仲間

//<7961> 暗算日本記録保持者
<7961> 暗算日本記録保持者

//<7962> 通り魔
<7962> 通り魔

//<7963> 記憶ナシ男
<7963> 記憶ナシ男

//<7964> 音速
<7964> 音速

//<7965> 無限
<7965> 無限

//<7966> エロ侍
<7966> エロ侍

//<7967> エロエロ団ナンバー１
<7967> エロエロ団ナンバー１

//<7968> ただのエロ少年
<7968> ただのエロ少年

//<7969> ユリブサイク
<7969> ユリブサイク

//<7970> ドピュッシー
<7970> ドピュッシー

//<7971> アメリカンエロドッグ
<7971> アメリカンエロドッグ

//<7972> ゼウス
<7972> ゼウス

//<7973> 日向markⅡ
<7973> 日向markⅡ

//<7974> 糞虫
<7974> 糞虫

//<7975> 量産型日向
<7975> 量産型日向

//<7976> ？？
<7976> ？？

//<7977> 「いきなり、そう言われても…俺、ぜんぜんプログラムのことわかんないぜ？」
<7977> 「いきなり、そう言われても…俺、ぜんぜんプログラムのことわかんないぜ？」

//<7978> コンピ部部長
<7978> コンピ部部長

//<7979> 「何言ってんだよ、ずっとみんなで組んできたじゃないか！？」
<7979> 「何言ってんだよ、ずっとみんなで組んできたじゃないか！？」

//<7980> 音無
<7980> 音無

//<7981> クソ坊主
<7981> クソ坊主

//<7982> 代理人
<7982> 代理人

//<7983> 微妙すぎるイケメン
<7983> 微妙すぎるイケメン

//<7984> ロリコン
<7984> ロリコン

//<7985> メガネ仲間
<7985> メガネ仲間

//<7986> 暗算日本記録保持者
<7986> 暗算日本記録保持者

//<7987> 通り魔
<7987> 通り魔

//<7988> 記憶ナシ男
<7988> 記憶ナシ男

//<7989> 音速
<7989> 音速

//<7990> 無限
<7990> 無限

//<7991> エロ侍
<7991> エロ侍

//<7992> エロエロ団ナンバー１
<7992> エロエロ団ナンバー１

//<7993> ただのエロ少年
<7993> ただのエロ少年

//<7994> ユリブサイク
<7994> ユリブサイク

//<7995> ドピュッシー
<7995> ドピュッシー

//<7996> アメリカンエロドッグ
<7996> アメリカンエロドッグ

//<7997> ゼウス
<7997> ゼウス

//<7998> 日向markⅡ
<7998> 日向markⅡ

//<7999> 糞虫
<7999> 糞虫

//<8000> 量産型日向
<8000> 量産型日向

//<8001> ？？
<8001> ？？

//<8002> （また、俺がこれまでも居た体か…）
<8002> （また、俺がこれまでも居た体か…）

//<8003> コンピ部部長
<8003> コンピ部部長

//<8004> 「何突っ立ってるんだよ、プレイしてくれ」
<8004> 「何突っ立ってるんだよ、プレイしてくれ」

//<8005> 空いている席はひとつだけ。そこが俺の席だというわけだ。
<8005> 空いている席はひとつだけ。そこが俺の席だというわけだ。

//<8006> そこに座り、設置されていたマシンを立ち上げる。
<8006> そこに座り、設置されていたマシンを立ち上げる。

//<8007> デスクトップにはほとんど何もなくて、あからさまに
<8007> デスクトップにはほとんど何もなくて、あからさまに

//<8008> exe
<8008> exe

//<8009> だけがひとつぽつんとある。
<8009> だけがひとつぽつんとある。

//<8010> se_mouse
<8010> se_mouse

//<8011> それをクリックすると、ゲームが起動した。
<8011> それをクリックすると、ゲームが起動した。

//<8012> se_mouse
<8012> se_mouse

//<8013> 禍々しいタイトル画面が現れ、スタートボタンをさらにマウスでクリックする。
<8013> 禍々しいタイトル画面が現れ、スタートボタンをさらにマウスでクリックする。

//<8014> すると廃墟のようなゲーム画面に。
<8014> すると廃墟のようなゲーム画面に。

//<8015> 音無
<8015> 音無

//<8016> クソ坊主
<8016> クソ坊主

//<8017> 代理人
<8017> 代理人

//<8018> 微妙すぎるイケメン
<8018> 微妙すぎるイケメン

//<8019> ロリコン
<8019> ロリコン

//<8020> メガネ仲間
<8020> メガネ仲間

//<8021> 暗算日本記録保持者
<8021> 暗算日本記録保持者

//<8022> 通り魔
<8022> 通り魔

//<8023> 記憶ナシ男
<8023> 記憶ナシ男

//<8024> 音速
<8024> 音速

//<8025> 無限
<8025> 無限

//<8026> エロ侍
<8026> エロ侍

//<8027> エロエロ団ナンバー１
<8027> エロエロ団ナンバー１

//<8028> ただのエロ少年
<8028> ただのエロ少年

//<8029> ユリブサイク
<8029> ユリブサイク

//<8030> ドピュッシー
<8030> ドピュッシー

//<8031> アメリカンエロドッグ
<8031> アメリカンエロドッグ

//<8032> ゼウス
<8032> ゼウス

//<8033> 日向markⅡ
<8033> 日向markⅡ

//<8034> 糞虫
<8034> 糞虫

//<8035> 量産型日向
<8035> 量産型日向

//<8036> ？？
<8036> ？？

//<8037> （結構ＣＧに力を入れてるんだな…）
<8037> （結構ＣＧに力を入れてるんだな…）

//<8038> マウスで照準が動いた。
<8038> マウスで照準が動いた。

//<8039> 音無
<8039> 音無

//<8040> クソ坊主
<8040> クソ坊主

//<8041> 代理人
<8041> 代理人

//<8042> 微妙すぎるイケメン
<8042> 微妙すぎるイケメン

//<8043> ロリコン
<8043> ロリコン

//<8044> メガネ仲間
<8044> メガネ仲間

//<8045> 暗算日本記録保持者
<8045> 暗算日本記録保持者

//<8046> 通り魔
<8046> 通り魔

//<8047> 記憶ナシ男
<8047> 記憶ナシ男

//<8048> 音速
<8048> 音速

//<8049> 無限
<8049> 無限

//<8050> エロ侍
<8050> エロ侍

//<8051> エロエロ団ナンバー１
<8051> エロエロ団ナンバー１

//<8052> ただのエロ少年
<8052> ただのエロ少年

//<8053> ユリブサイク
<8053> ユリブサイク

//<8054> ドピュッシー
<8054> ドピュッシー

//<8055> アメリカンエロドッグ
<8055> アメリカンエロドッグ

//<8056> ゼウス
<8056> ゼウス

//<8057> 日向markⅡ
<8057> 日向markⅡ

//<8058> 糞虫
<8058> 糞虫

//<8059> 量産型日向
<8059> 量産型日向

//<8060> ？？
<8060> ？？

//<8061> （ということは、これで敵を撃てってゲームだな）
<8061> （ということは、これで敵を撃てってゲームだな）

//<8062> ゾンビが一体現れる。
<8062> ゾンビが一体現れる。

//<8063> 音無
<8063> 音無

//<8064> クソ坊主
<8064> クソ坊主

//<8065> 代理人
<8065> 代理人

//<8066> 微妙すぎるイケメン
<8066> 微妙すぎるイケメン

//<8067> ロリコン
<8067> ロリコン

//<8068> メガネ仲間
<8068> メガネ仲間

//<8069> 暗算日本記録保持者
<8069> 暗算日本記録保持者

//<8070> 通り魔
<8070> 通り魔

//<8071> 記憶ナシ男
<8071> 記憶ナシ男

//<8072> 音速
<8072> 音速

//<8073> 無限
<8073> 無限

//<8074> エロ侍
<8074> エロ侍

//<8075> エロエロ団ナンバー１
<8075> エロエロ団ナンバー１

//<8076> ただのエロ少年
<8076> ただのエロ少年

//<8077> ユリブサイク
<8077> ユリブサイク

//<8078> ドピュッシー
<8078> ドピュッシー

//<8079> アメリカンエロドッグ
<8079> アメリカンエロドッグ

//<8080> ゼウス
<8080> ゼウス

//<8081> 日向markⅡ
<8081> 日向markⅡ

//<8082> 糞虫
<8082> 糞虫

//<8083> 量産型日向
<8083> 量産型日向

//<8084> ？？
<8084> ？？

//<8085> （動きながら近づいてくる…やるな、ここのプログラマーたち…）
<8085> （動きながら近づいてくる…やるな、ここのプログラマーたち…）

//<8086> se_handgun2
<8086> se_handgun2

//<8087> 撃つと、ゾンビは叫び声をあげ、木っ端微塵に散る。
<8087> 撃つと、ゾンビは叫び声をあげ、木っ端微塵に散る。

//<8088> 音無
<8088> 音無

//<8089> クソ坊主
<8089> クソ坊主

//<8090> 代理人
<8090> 代理人

//<8091> 微妙すぎるイケメン
<8091> 微妙すぎるイケメン

//<8092> ロリコン
<8092> ロリコン

//<8093> メガネ仲間
<8093> メガネ仲間

//<8094> 暗算日本記録保持者
<8094> 暗算日本記録保持者

//<8095> 通り魔
<8095> 通り魔

//<8096> 記憶ナシ男
<8096> 記憶ナシ男

//<8097> 音速
<8097> 音速

//<8098> 無限
<8098> 無限

//<8099> エロ侍
<8099> エロ侍

//<8100> エロエロ団ナンバー１
<8100> エロエロ団ナンバー１

//<8101> ただのエロ少年
<8101> ただのエロ少年

//<8102> ユリブサイク
<8102> ユリブサイク

//<8103> ドピュッシー
<8103> ドピュッシー

//<8104> アメリカンエロドッグ
<8104> アメリカンエロドッグ

//<8105> ゼウス
<8105> ゼウス

//<8106> 日向markⅡ
<8106> 日向markⅡ

//<8107> 糞虫
<8107> 糞虫

//<8108> 量産型日向
<8108> 量産型日向

//<8109> ？？
<8109> ？？

//<8110> （すげぇ…商業レベルのゲームになってねぇか…！？）
<8110> （すげぇ…商業レベルのゲームになってねぇか…！？）

//<8111> se_handgun2_3
<8111> se_handgun2_3

//<8112> 次々とゾンビを倒していく。
<8112> 次々とゾンビを倒していく。

//<8113> se_handgun2
<8113> se_handgun2

//<8114> 唐突に人間が現れ、それも撃ってしまう。
<8114> 唐突に人間が現れ、それも撃ってしまう。

//<8115> 人間
<8115> 人間

//<8116> 「ぐあああああぁぁぁあああーーー！！」
<8116> 「ぐあああああぁぁぁあああーーー！！」

//<8117> 断末魔を上げ、内臓や血をまき散らし、ゲームオーバーの文字が表示された。
<8117> 断末魔を上げ、内臓や血をまき散らし、ゲームオーバーの文字が表示された。

//<8118> 音無
<8118> 音無

//<8119> クソ坊主
<8119> クソ坊主

//<8120> 代理人
<8120> 代理人

//<8121> 微妙すぎるイケメン
<8121> 微妙すぎるイケメン

//<8122> ロリコン
<8122> ロリコン

//<8123> メガネ仲間
<8123> メガネ仲間

//<8124> 暗算日本記録保持者
<8124> 暗算日本記録保持者

//<8125> 通り魔
<8125> 通り魔

//<8126> 記憶ナシ男
<8126> 記憶ナシ男

//<8127> 音速
<8127> 音速

//<8128> 無限
<8128> 無限

//<8129> エロ侍
<8129> エロ侍

//<8130> エロエロ団ナンバー１
<8130> エロエロ団ナンバー１

//<8131> ただのエロ少年
<8131> ただのエロ少年

//<8132> ユリブサイク
<8132> ユリブサイク

//<8133> ドピュッシー
<8133> ドピュッシー

//<8134> アメリカンエロドッグ
<8134> アメリカンエロドッグ

//<8135> ゼウス
<8135> ゼウス

//<8136> 日向markⅡ
<8136> 日向markⅡ

//<8137> 糞虫
<8137> 糞虫

//<8138> 量産型日向
<8138> 量産型日向

//<8139> ？？
<8139> ？？

//<8140> 「バグ発見！　グロすぎぃーーー！！」
<8140> 「バグ発見！　グロすぎぃーーー！！」

//<8141> コンピ部部長
<8141> コンピ部部長

//<8142> 「それは仕様だ」
<8142> 「それは仕様だ」

//<8143> 音無
<8143> 音無

//<8144> クソ坊主
<8144> クソ坊主

//<8145> 代理人
<8145> 代理人

//<8146> 微妙すぎるイケメン
<8146> 微妙すぎるイケメン

//<8147> ロリコン
<8147> ロリコン

//<8148> メガネ仲間
<8148> メガネ仲間

//<8149> 暗算日本記録保持者
<8149> 暗算日本記録保持者

//<8150> 通り魔
<8150> 通り魔

//<8151> 記憶ナシ男
<8151> 記憶ナシ男

//<8152> 音速
<8152> 音速

//<8153> 無限
<8153> 無限

//<8154> エロ侍
<8154> エロ侍

//<8155> エロエロ団ナンバー１
<8155> エロエロ団ナンバー１

//<8156> ただのエロ少年
<8156> ただのエロ少年

//<8157> ユリブサイク
<8157> ユリブサイク

//<8158> ドピュッシー
<8158> ドピュッシー

//<8159> アメリカンエロドッグ
<8159> アメリカンエロドッグ

//<8160> ゼウス
<8160> ゼウス

//<8161> 日向markⅡ
<8161> 日向markⅡ

//<8162> 糞虫
<8162> 糞虫

//<8163> 量産型日向
<8163> 量産型日向

//<8164> ？？
<8164> ？？

//<8165> 「こんなの子供にやらせたら、トラウマになるからぁー！！」
<8165> 「こんなの子供にやらせたら、トラウマになるからぁー！！」

//<8166> コンピ部部長
<8166> コンピ部部長

//<8167> 「あくまでも、学祭用のゲームだぞ？　子供はプレイしない。本校の学生だけだ」
<8167> 「あくまでも、学祭用のゲームだぞ？　子供はプレイしない。本校の学生だけだ」

//<8168> 音無
<8168> 音無

//<8169> クソ坊主
<8169> クソ坊主

//<8170> 代理人
<8170> 代理人

//<8171> 微妙すぎるイケメン
<8171> 微妙すぎるイケメン

//<8172> ロリコン
<8172> ロリコン

//<8173> メガネ仲間
<8173> メガネ仲間

//<8174> 暗算日本記録保持者
<8174> 暗算日本記録保持者

//<8175> 通り魔
<8175> 通り魔

//<8176> 記憶ナシ男
<8176> 記憶ナシ男

//<8177> 音速
<8177> 音速

//<8178> 無限
<8178> 無限

//<8179> エロ侍
<8179> エロ侍

//<8180> エロエロ団ナンバー１
<8180> エロエロ団ナンバー１

//<8181> ただのエロ少年
<8181> ただのエロ少年

//<8182> ユリブサイク
<8182> ユリブサイク

//<8183> ドピュッシー
<8183> ドピュッシー

//<8184> アメリカンエロドッグ
<8184> アメリカンエロドッグ

//<8185> ゼウス
<8185> ゼウス

//<8186> 日向markⅡ
<8186> 日向markⅡ

//<8187> 糞虫
<8187> 糞虫

//<8188> 量産型日向
<8188> 量産型日向

//<8189> ？？
<8189> ？？

//<8190> 「だったら、Ｒ指定も何もなくていいのか…」
<8190> 「だったら、Ｒ指定も何もなくていいのか…」

//<8191> コンピ部部長
<8191> コンピ部部長

//<8192> 「ああ。とにかく刺激のある作品を発表せよ、それがブロック崩しでまったく集客できなかったＯＢが残してくれた言葉だ」
<8192> 「ああ。とにかく刺激のある作品を発表せよ、それがブロック崩しでまったく集客できなかったＯＢが残してくれた言葉だ」

//<8193> 音無
