// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。
<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。
<9077> 微妙すぎるイケメン

//<9078> ロリコン
<9078> ロリコン

//<9079> メガネ仲間
<9079> メガネ仲間

//<9080> 暗算日本記録保持者
<9080> 暗算日本記録保持者

//<9081> 通り魔
<9081> 通り魔

//<9082> 記憶ナシ男
<9082> 記憶ナシ男

//<9083> 音速
<9083> 音速

//<9084> 無限
<9084> 無限

//<9085> エロ侍
<9085> エロ侍

//<9086> エロエロ団ナンバー１
<9086> エロエロ団ナンバー１

//<9087> ただのエロ少年
<9087> ただのエロ少年

//<9088> ユリブサイク
<9088> ユリブサイク

//<9089> ドピュッシー
<9089> ドピュッシー

//<9090> アメリカンエロドッグ
<9090> アメリカンエロドッグ

//<9091> ゼウス
<9091> ゼウス

//<9092> 日向markⅡ
<9092> 日向markⅡ

//<9093> 糞虫
<9093> 糞虫

//<9094> 量産型日向
<9094> 量産型日向

//<9095> ？？
<9095> ？？

//<9096> 「はっ！」
<9096> 「はっ！」

//<9097> 思い出した。野田を前にすると、否応なく血が燃えたぎる…。
<9097> 思い出した。野田を前にすると、否応なく血が燃えたぎる…。

//<9098> 音無
<9098> 音無

//<9099> クソ坊主
<9099> クソ坊主

//<9100> 代理人
<9100> 代理人

//<9101> 微妙すぎるイケメン
<9101> 微妙すぎるイケメン

//<9102> ロリコン
<9102> ロリコン

//<9103> メガネ仲間
<9103> メガネ仲間

//<9104> 暗算日本記録保持者
<9104> 暗算日本記録保持者

//<9105> 通り魔
<9105> 通り魔

//<9106> 記憶ナシ男
<9106> 記憶ナシ男

//<9107> 音速
<9107> 音速

//<9108> 無限
<9108> 無限

//<9109> エロ侍
<9109> エロ侍

//<9110> エロエロ団ナンバー１
<9110> エロエロ団ナンバー１

//<9111> ただのエロ少年
<9111> ただのエロ少年

//<9112> ユリブサイク
<9112> ユリブサイク

//<9113> ドピュッシー
<9113> ドピュッシー

//<9114> アメリカンエロドッグ
<9114> アメリカンエロドッグ

//<9115> ゼウス
<9115> ゼウス

//<9116> 日向markⅡ
<9116> 日向markⅡ

//<9117> 糞虫
<9117> 糞虫

//<9118> 量産型日向
<9118> 量産型日向

//<9119> ？？
<9119> ？？

//<9120> 「はっ…そうか…野田の勧誘だったな…」
<9120> 「はっ…そうか…野田の勧誘だったな…」

//<9121> nothing
<9121> nothing

//<9122> nothing
<9122> nothing

//<9123> nothing
<9123> nothing

//<9124> nothing
<9124> nothing

//<9125> nothing
<9125> nothing

//<9126> 日向
<9126> 日向

//<9127> 男Ｂ
<9127> 男Ｂ

//<9128> エロエロ団総帥
<9128> エロエロ団総帥

//<9129> イケチン
<9129> イケチン

//<9130> ホモ太
<9130> ホモ太

//<9131> ひなチン
<9131> ひなチン

//<9132> 秀樹
<9132> 秀樹

//<9133> 男子生徒
<9133> 男子生徒

//<9134> ？？
<9134> ？？

//<9135> 「よし、よく思い出してくれた！」
<9135> 「よし、よく思い出してくれた！」

//<9136> nothing
<9136> nothing

//<9137> nothing
<9137> nothing

//<9138> nothing
<9138> nothing

//<9139> nothing
<9139> nothing

//<9140> nothing
<9140> nothing

//<9141> nothing
<9141> nothing

//<9142> 俺は野田に向き直る。
<9142> 俺は野田に向き直る。

//<9143> nothing
<9143> nothing

//<9144> nothing
<9144> nothing

//<9145> nothing
<9145> nothing

//<9146> nothing
<9146> nothing

//<9147> nothing
<9147> nothing

//<9148> 音無
<9148> 音無

//<9149> クソ坊主
<9149> クソ坊主

//<9150> 代理人
<9150> 代理人

//<9151> 微妙すぎるイケメン
<9151> 微妙すぎるイケメン

//<9152> ロリコン
<9152> ロリコン

//<9153> メガネ仲間
<9153> メガネ仲間

//<9154> 暗算日本記録保持者
<9154> 暗算日本記録保持者

//<9155> 通り魔
<9155> 通り魔

//<9156> 記憶ナシ男
<9156> 記憶ナシ男

//<9157> 音速
<9157> 音速

//<9158> 無限
<9158> 無限

//<9159> エロ侍
<9159> エロ侍

//<9160> エロエロ団ナンバー１
<9160> エロエロ団ナンバー１

//<9161> ただのエロ少年
<9161> ただのエロ少年

//<9162> ユリブサイク
<9162> ユリブサイク

//<9163> ドピュッシー
<9163> ドピュッシー

//<9164> アメリカンエロドッグ
<9164> アメリカンエロドッグ

//<9165> ゼウス
<9165> ゼウス

//<9166> 日向markⅡ
<9166> 日向markⅡ

//<9167> 糞虫
<9167> 糞虫

//<9168> 量産型日向
<9168> 量産型日向

//<9169> ？？
<9169> ？？

//<9170> 「つーわけだ、野田、勧誘だ」
<9170> 「つーわけだ、野田、勧誘だ」

//<9171> nothing
<9171> nothing

//<9172> nothing
<9172> nothing

//<9173> nothing
<9173> nothing

//<9174> nothing
<9174> nothing

//<9175> nothing
<9175> nothing

//<9176> 野田
<9176> 野田

//<9177> 男Ｆ
<9177> 男Ｆ

//<9178> イケパイ
<9178> イケパイ

//<9179> 男
<9179> 男

//<9180> ？？
<9180> ？？

//<9181> 「かんゆう？」
<9181> 「かんゆう？」

//<9182> 音無
<9182> 音無

//<9183> クソ坊主
<9183> クソ坊主

//<9184> 代理人
<9184> 代理人

//<9185> 微妙すぎるイケメン
<9185> 微妙すぎるイケメン

//<9186> ロリコン
<9186> ロリコン

//<9187> メガネ仲間
<9187> メガネ仲間

//<9188> 暗算日本記録保持者
<9188> 暗算日本記録保持者

//<9189> 通り魔
<9189> 通り魔

//<9190> 記憶ナシ男
<9190> 記憶ナシ男

//<9191> 音速
<9191> 音速

//<9192> 無限
<9192> 無限

//<9193> エロ侍
<9193> エロ侍

//<9194> エロエロ団ナンバー１
<9194> エロエロ団ナンバー１

//<9195> ただのエロ少年
<9195> ただのエロ少年

//<9196> ユリブサイク
<9196> ユリブサイク

//<9197> ドピュッシー
<9197> ドピュッシー

//<9198> アメリカンエロドッグ
<9198> アメリカンエロドッグ

//<9199> ゼウス
<9199> ゼウス

//<9200> 日向markⅡ
<9200> 日向markⅡ

//<9201> 糞虫
<9201> 糞虫

//<9202> 量産型日向
<9202> 量産型日向

//<9203> ？？
<9203> ？？

//<9204> 「球技大会。野球だ。一緒にやろう」
<9204> 「球技大会。野球だ。一緒にやろう」

//<9205> nothing
<9205> nothing

//<9206> nothing
<9206> nothing

//<9207> nothing
<9207> nothing

//<9208> nothing
<9208> nothing

//<9209> nothing
<9209> nothing

//<9210> 野田
<9210> 野田

//<9211> 男Ｆ
<9211> 男Ｆ

//<9212> イケパイ
<9212> イケパイ

//<9213> 男
<9213> 男

//<9214> ？？
<9214> ？？

//<9215> 「はぁ？」
<9215> 「はぁ？」

//<9216> 音無
<9216> 音無

//<9217> クソ坊主
<9217> クソ坊主

//<9218> 代理人
<9218> 代理人

//<9219> 微妙すぎるイケメン
<9219> 微妙すぎるイケメン

//<9220> ロリコン
<9220> ロリコン

//<9221> メガネ仲間
<9221> メガネ仲間

//<9222> 暗算日本記録保持者
<9222> 暗算日本記録保持者

//<9223> 通り魔
<9223> 通り魔

//<9224> 記憶ナシ男
<9224> 記憶ナシ男

//<9225> 音速
<9225> 音速

//<9226> 無限
<9226> 無限

//<9227> エロ侍
<9227> エロ侍

//<9228> エロエロ団ナンバー１
<9228> エロエロ団ナンバー１

//<9229> ただのエロ少年
<9229> ただのエロ少年

//<9230> ユリブサイク
<9230> ユリブサイク

//<9231> ドピュッシー
<9231> ドピュッシー

//<9232> アメリカンエロドッグ
<9232> アメリカンエロドッグ

//<9233> ゼウス
<9233> ゼウス

//<9234> 日向markⅡ
<9234> 日向markⅡ

//<9235> 糞虫
<9235> 糞虫

//<9236> 量産型日向
<9236> 量産型日向

//<9237> ？？
<9237> ？？

//<9238> 「いや、明後日の球技大会、俺と日向の居るチームに入ってくれないか」
<9238> 「いや、明後日の球技大会、俺と日向の居るチームに入ってくれないか」

//<9239> nothing
<9239> nothing

//<9240> nothing
<9240> nothing

//<9241> nothing
<9241> nothing

//<9242> nothing
<9242> nothing

//<9243> nothing
<9243> nothing

//<9244> 野田
<9244> 野田

//<9245> 男Ｆ
<9245> 男Ｆ

//<9246> イケパイ
<9246> イケパイ

//<9247> 男
<9247> 男

//<9248> ？？
<9248> ？？

//<9249> 「日向にお前が声をかけろと言われてきたのか」
<9249> 「日向にお前が声をかけろと言われてきたのか」

//<9250> 音無
<9250> 音無

//<9251> クソ坊主
<9251> クソ坊主

//<9252> 代理人
<9252> 代理人

//<9253> 微妙すぎるイケメン
<9253> 微妙すぎるイケメン

//<9254> ロリコン
<9254> ロリコン

//<9255> メガネ仲間
<9255> メガネ仲間

//<9256> 暗算日本記録保持者
<9256> 暗算日本記録保持者

//<9257> 通り魔
<9257> 通り魔

//<9258> 記憶ナシ男
<9258> 記憶ナシ男

//<9259> 音速
<9259> 音速

//<9260> 無限
<9260> 無限

//<9261> エロ侍
<9261> エロ侍

//<9262> エロエロ団ナンバー１
<9262> エロエロ団ナンバー１

//<9263> ただのエロ少年
<9263> ただのエロ少年

//<9264> ユリブサイク
<9264> ユリブサイク

//<9265> ドピュッシー
<9265> ドピュッシー

//<9266> アメリカンエロドッグ
<9266> アメリカンエロドッグ

//<9267> ゼウス
<9267> ゼウス

//<9268> 日向markⅡ
<9268> 日向markⅡ

//<9269> 糞虫
<9269> 糞虫

//<9270> 量産型日向
<9270> 量産型日向

//<9271> ？？
<9271> ？？

//<9272> 「違う。俺自身が決めたことだ」
<9272> 「違う。俺自身が決めたことだ」

//<9273> nothing
<9273> nothing

//<9274> nothing
<9274> nothing

//<9275> nothing
<9275> nothing

//<9276> nothing
<9276> nothing

//<9277> nothing
<9277> nothing

//<9278> 野田
<9278> 野田

//<9279> 男Ｆ
<9279> 男Ｆ

//<9280> イケパイ
<9280> イケパイ

//<9281> 男
<9281> 男

//<9282> ？？
<9282> ？？

//<9283> 「お前ごときが、何を根拠に…」
<9283> 「お前ごときが、何を根拠に…」

//<9284> 音無
<9284> 音無

//<9285> クソ坊主
<9285> クソ坊主

//<9286> 代理人
<9286> 代理人

//<9287> 微妙すぎるイケメン
<9287> 微妙すぎるイケメン

//<9288> ロリコン
<9288> ロリコン

//<9289> メガネ仲間
<9289> メガネ仲間

//<9290> 暗算日本記録保持者
<9290> 暗算日本記録保持者

//<9291> 通り魔
<9291> 通り魔

//<9292> 記憶ナシ男
<9292> 記憶ナシ男

//<9293> 音速
<9293> 音速

//<9294> 無限
<9294> 無限

//<9295> エロ侍
<9295> エロ侍

//<9296> エロエロ団ナンバー１
<9296> エロエロ団ナンバー１

//<9297> ただのエロ少年
<9297> ただのエロ少年

//<9298> ユリブサイク
<9298> ユリブサイク

//<9299> ドピュッシー
<9299> ドピュッシー

//<9300> アメリカンエロドッグ
<9300> アメリカンエロドッグ

//<9301> ゼウス
<9301> ゼウス

//<9302> 日向markⅡ
<9302> 日向markⅡ

//<9303> 糞虫
<9303> 糞虫

//<9304> 量産型日向
<9304> 量産型日向

//<9305> ？？
<9305> ？？

//<9306> 「お前は強い」
<9306> 「お前は強い」

//<9307> 音無
<9307> 音無

//<9308> クソ坊主
<9308> クソ坊主

//<9309> 代理人
<9309> 代理人

//<9310> 微妙すぎるイケメン
<9310> 微妙すぎるイケメン

//<9311> ロリコン
<9311> ロリコン

//<9312> メガネ仲間
<9312> メガネ仲間

//<9313> 暗算日本記録保持者
<9313> 暗算日本記録保持者

//<9314> 通り魔
<9314> 通り魔

//<9315> 記憶ナシ男
<9315> 記憶ナシ男

//<9316> 音速
<9316> 音速

//<9317> 無限
<9317> 無限

//<9318> エロ侍
<9318> エロ侍

//<9319> エロエロ団ナンバー１
<9319> エロエロ団ナンバー１

//<9320> ただのエロ少年
<9320> ただのエロ少年

//<9321> ユリブサイク
<9321> ユリブサイク

//<9322> ドピュッシー
<9322> ドピュッシー

//<9323> アメリカンエロドッグ
<9323> アメリカンエロドッグ

//<9324> ゼウス
<9324> ゼウス

//<9325> 日向markⅡ
<9325> 日向markⅡ

//<9326> 糞虫
<9326> 糞虫

//<9327> 量産型日向
<9327> 量産型日向

//<9328> ？？
<9328> ？？

//<9329> 「しかも、そのハルバートを振るう筋力は、バットを振ることにも活かされるはずだ」
<9329> 「しかも、そのハルバートを振るう筋力は、バットを振ることにも活かされるはずだ」

//<9330> nothing
<9330> nothing

//<9331> nothing
<9331> nothing

//<9332> nothing
<9332> nothing

//<9333> nothing
<9333> nothing

//<9334> nothing
<9334> nothing

//<9335> 野田
<9335> 野田

//<9336> 男Ｆ
<9336> 男Ｆ

//<9337> イケパイ
<9337> イケパイ

//<9338> 男
<9338> 男

//<9339> ？？
<9339> ？？

//<9340> 「えぇ？」
<9340> 「えぇ？」

//<9341> その肉体に触ってみたい
<9341> その肉体に触ってみたい

//<9342> 誘うだけにする
<9342> 誘うだけにする

//<9343> selbtn : 
<9343> selbtn : 

//<9344> 音無
<9344> 音無

//<9345> クソ坊主
<9345> クソ坊主

//<9346> 代理人
<9346> 代理人

//<9347> 微妙すぎるイケメン
<9347> 微妙すぎるイケメン

//<9348> ロリコン
<9348> ロリコン

//<9349> メガネ仲間
<9349> メガネ仲間

//<9350> 暗算日本記録保持者
<9350> 暗算日本記録保持者

//<9351> 通り魔
<9351> 通り魔

//<9352> 記憶ナシ男
<9352> 記憶ナシ男

//<9353> 音速
<9353> 音速

//<9354> 無限
<9354> 無限

//<9355> エロ侍
<9355> エロ侍

//<9356> エロエロ団ナンバー１
<9356> エロエロ団ナンバー１

//<9357> ただのエロ少年
<9357> ただのエロ少年

//<9358> ユリブサイク
<9358> ユリブサイク

//<9359> ドピュッシー
<9359> ドピュッシー

//<9360> アメリカンエロドッグ
<9360> アメリカンエロドッグ

//<9361> ゼウス
<9361> ゼウス

//<9362> 日向markⅡ
<9362> 日向markⅡ

//<9363> 糞虫
<9363> 糞虫

//<9364> 量産型日向
<9364> 量産型日向

//<9365> ？？
<9365> ？？

//<9366> 「なあ、その肉体、触ってみてもいいか」
<9366> 「なあ、その肉体、触ってみてもいいか」

//<9367> nothing
<9367> nothing

//<9368> nothing
<9368> nothing

//<9369> nothing
<9369> nothing

//<9370> nothing
<9370> nothing

//<9371> nothing
<9371> nothing

//<9372> 野田
<9372> 野田

//<9373> 男Ｆ
<9373> 男Ｆ

//<9374> イケパイ
<9374> イケパイ

//<9375> 男
<9375> 男

//<9376> ？？
<9376> ？？
{f1bd1} 33 // 9376

//<9377> 「はっ！？　まあ…いいが…」
<9377> 「はっ！？　まあ…いいが…」

//<9378> nothing
<9378> nothing

//<9379> nothing
<9379> nothing

//<9380> nothing
<9380> nothing

//<9381> nothing
<9381> nothing

//<9382> nothing
<9382> nothing

//<9383> bs3_
<9383> bs3_

//<9384> nothing
<9384> nothing

//<9385> nothing
<9385> nothing

//<9386> nothing
<9386> nothing

//<9387> nothing
<9387> nothing

//<9388> nothing
<9388> nothing

//<9389> se_munyu
<9389> se_munyu

//<9390> 戸惑う野田。その大胸筋に触れて、押してみる。
<9390> 戸惑う野田。その大胸筋に触れて、押してみる。

//<9391> 音無
<9391> 音無

//<9392> クソ坊主
<9392> クソ坊主

//<9393> 代理人
<9393> 代理人

//<9394> 微妙すぎるイケメン
<9394> 微妙すぎるイケメン

//<9395> ロリコン
<9395> ロリコン

//<9396> メガネ仲間
<9396> メガネ仲間

//<9397> 暗算日本記録保持者
<9397> 暗算日本記録保持者

//<9398> 通り魔
<9398> 通り魔

//<9399> 記憶ナシ男
<9399> 記憶ナシ男

//<9400> 音速
<9400> 音速

//<9401> 無限
<9401> 無限

//<9402> エロ侍
<9402> エロ侍

//<9403> エロエロ団ナンバー１
<9403> エロエロ団ナンバー１

//<9404> ただのエロ少年
<9404> ただのエロ少年

//<9405> ユリブサイク
<9405> ユリブサイク

//<9406> ドピュッシー
<9406> ドピュッシー

//<9407> アメリカンエロドッグ
<9407> アメリカンエロドッグ

//<9408> ゼウス
<9408> ゼウス

//<9409> 日向markⅡ
<9409> 日向markⅡ

//<9410> 糞虫
<9410> 糞虫

//<9411> 量産型日向
<9411> 量産型日向

//<9412> ？？
<9412> ？？

//<9413> 「すごい…これだけ張り出していて、なんて固さだ…」
<9413> 「すごい…これだけ張り出していて、なんて固さだ…」

//<9414> 野田
<9414> 野田

//<9415> 男Ｆ
<9415> 男Ｆ

//<9416> イケパイ
<9416> イケパイ

//<9417> 男
<9417> 男

//<9418> ？？
<9418> ？？

//<9419> 「まあ、日々鍛錬を続けてるからな…」
<9419> 「まあ、日々鍛錬を続けてるからな…」

//<9420> 音無
<9420> 音無

//<9421> クソ坊主
<9421> クソ坊主

//<9422> 代理人
<9422> 代理人

//<9423> 微妙すぎるイケメン
<9423> 微妙すぎるイケメン

//<9424> ロリコン
<9424> ロリコン

//<9425> メガネ仲間
<9425> メガネ仲間

//<9426> 暗算日本記録保持者
<9426> 暗算日本記録保持者

//<9427> 通り魔
<9427> 通り魔

//<9428> 記憶ナシ男
<9428> 記憶ナシ男

//<9429> 音速
<9429> 音速

//<9430> 無限
<9430> 無限

//<9431> エロ侍
<9431> エロ侍

//<9432> エロエロ団ナンバー１
<9432> エロエロ団ナンバー１

//<9433> ただのエロ少年
<9433> ただのエロ少年

//<9434> ユリブサイク
<9434> ユリブサイク

//<9435> ドピュッシー
<9435> ドピュッシー

//<9436> アメリカンエロドッグ
<9436> アメリカンエロドッグ

//<9437> ゼウス
<9437> ゼウス

//<9438> 日向markⅡ
<9438> 日向markⅡ

//<9439> 糞虫
<9439> 糞虫

//<9440> 量産型日向
<9440> 量産型日向

//<9441> ？？
<9441> ？？

//<9442> 「イケてる大胸筋…略して、イケパイと呼んでいいかな」
<9442> 「イケてる大胸筋…略して、イケパイと呼んでいいかな」

//<9443> nothing
<9443> nothing

//<9444> nothing
<9444> nothing

//<9445> nothing
<9445> nothing

//<9446> nothing
<9446> nothing

//<9447> nothing
<9447> nothing

//<9448> 野田
<9448> 野田

//<9449> 男Ｆ
<9449> 男Ｆ

//<9450> イケパイ
<9450> イケパイ

//<9451> 男
<9451> 男

//<9452> ？？
<9452> ？？

//<9453> 「大胸筋はおっぱいじゃないだろ…」
