// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ここは…。
<0000> ここは…。
//<2487> 「ステーキ＆ハンバーグコンボ定食…」
<2487> 「ステーキ＆ハンバーグコンボ定食…」

//<2488> 音無
<2488> 音無

//<2489> クソ坊主
<2489> クソ坊主

//<2490> 代理人
<2490> 代理人

//<2491> 微妙すぎるイケメン
<2491> 微妙すぎるイケメン

//<2492> ロリコン
<2492> ロリコン

//<2493> メガネ仲間
<2493> メガネ仲間

//<2494> 暗算日本記録保持者
<2494> 暗算日本記録保持者

//<2495> 通り魔
<2495> 通り魔

//<2496> 記憶ナシ男
<2496> 記憶ナシ男

//<2497> 音速
<2497> 音速

//<2498> 無限
<2498> 無限

//<2499> エロ侍
<2499> エロ侍

//<2500> エロエロ団ナンバー１
<2500> エロエロ団ナンバー１

//<2501> ただのエロ少年
<2501> ただのエロ少年

//<2502> ユリブサイク
<2502> ユリブサイク

//<2503> ドピュッシー
<2503> ドピュッシー

//<2504> アメリカンエロドッグ
<2504> アメリカンエロドッグ

//<2505> ゼウス
<2505> ゼウス

//<2506> 日向markⅡ
<2506> 日向markⅡ

//<2507> 糞虫
<2507> 糞虫

//<2508> 量産型日向
<2508> 量産型日向

//<2509> ？？
<2509> ？？

//<2510> 「はっは！　朝からすげーヘヴィーだな！」
<2510> 「はっは！　朝からすげーヘヴィーだな！」

//<2511> nothing
<2511> nothing

//<2512> nothing
<2512> nothing

//<2513> nothing
<2513> nothing

//<2514> nothing
<2514> nothing

//<2515> nothing
<2515> nothing

//<2516> 日向
<2516> 日向

//<2517> 男Ｂ
<2517> 男Ｂ

//<2518> エロエロ団総帥
<2518> エロエロ団総帥

//<2519> イケチン
<2519> イケチン

//<2520> ホモ太
<2520> ホモ太

//<2521> ひなチン
<2521> ひなチン

//<2522> 秀樹
<2522> 秀樹

//<2523> 男子生徒
<2523> 男子生徒

//<2524> ？？
<2524> ？？

//<2525> 「いいや、俺は美味しく食い切ってみせるぜ！」
<2525> 「いいや、俺は美味しく食い切ってみせるぜ！」

//<2526> そう気合いを入れ直した。
<2526> そう気合いを入れ直した。

//<2527> 音無
<2527> 音無

//<2528> クソ坊主
<2528> クソ坊主

//<2529> 代理人
<2529> 代理人

//<2530> 微妙すぎるイケメン
<2530> 微妙すぎるイケメン

//<2531> ロリコン
<2531> ロリコン

//<2532> メガネ仲間
<2532> メガネ仲間

//<2533> 暗算日本記録保持者
<2533> 暗算日本記録保持者

//<2534> 通り魔
<2534> 通り魔

//<2535> 記憶ナシ男
<2535> 記憶ナシ男

//<2536> 音速
<2536> 音速

//<2537> 無限
<2537> 無限

//<2538> エロ侍
<2538> エロ侍

//<2539> エロエロ団ナンバー１
<2539> エロエロ団ナンバー１

//<2540> ただのエロ少年
<2540> ただのエロ少年

//<2541> ユリブサイク
<2541> ユリブサイク

//<2542> ドピュッシー
<2542> ドピュッシー

//<2543> アメリカンエロドッグ
<2543> アメリカンエロドッグ

//<2544> ゼウス
<2544> ゼウス

//<2545> 日向markⅡ
<2545> 日向markⅡ

//<2546> 糞虫
<2546> 糞虫

//<2547> 量産型日向
<2547> 量産型日向

//<2548> ？？
<2548> ？？

//<2549> 「さすがっ！　よっ、イケチン！」
<2549> 「さすがっ！　よっ、イケチン！」

//<2550> nothing
<2550> nothing

//<2551> nothing
<2551> nothing

//<2552> nothing
<2552> nothing

//<2553> nothing
<2553> nothing

//<2554> nothing
<2554> nothing

//<2555> 日向
<2555> 日向

//<2556> 男Ｂ
<2556> 男Ｂ

//<2557> エロエロ団総帥
<2557> エロエロ団総帥

//<2558> イケチン
<2558> イケチン

//<2559> ホモ太
<2559> ホモ太

//<2560> ひなチン
<2560> ひなチン

//<2561> 秀樹
<2561> 秀樹

//<2562> 男子生徒
<2562> 男子生徒

//<2563> ？？
<2563> ？？

//<2564> 「はい、言ったーー！！」
<2564> 「はい、言ったーー！！」

//<2565> nothing
<2565> nothing

//<2566> nothing
<2566> nothing

//<2567> nothing
<2567> nothing

//<2568> nothing
<2568> nothing

//<2569> nothing
<2569> nothing

//<2570> nothing
<2570> nothing

//<2571> se_punch
<2571> se_punch

//<2572> ばきぃ！と頬を殴られ、歯がまた飛ぶ。
<2572> ばきぃ！と頬を殴られ、歯がまた飛ぶ。

//<2573> 音無
<2573> 音無

//<2574> クソ坊主
<2574> クソ坊主

//<2575> 代理人
<2575> 代理人

//<2576> 微妙すぎるイケメン
<2576> 微妙すぎるイケメン

//<2577> ロリコン
<2577> ロリコン

//<2578> メガネ仲間
<2578> メガネ仲間

//<2579> 暗算日本記録保持者
<2579> 暗算日本記録保持者

//<2580> 通り魔
<2580> 通り魔

//<2581> 記憶ナシ男
<2581> 記憶ナシ男

//<2582> 音速
<2582> 音速

//<2583> 無限
<2583> 無限

//<2584> エロ侍
<2584> エロ侍

//<2585> エロエロ団ナンバー１
<2585> エロエロ団ナンバー１

//<2586> ただのエロ少年
<2586> ただのエロ少年

//<2587> ユリブサイク
<2587> ユリブサイク

//<2588> ドピュッシー
<2588> ドピュッシー

//<2589> アメリカンエロドッグ
<2589> アメリカンエロドッグ

//<2590> ゼウス
<2590> ゼウス

//<2591> 日向markⅡ
<2591> 日向markⅡ

//<2592> 糞虫
<2592> 糞虫

//<2593> 量産型日向
<2593> 量産型日向

//<2594> ？？
<2594> ？？

//<2595> 「っつーーー！！」
<2595> 「っつーーー！！」

//<2596> 音無
<2596> 音無

//<2597> クソ坊主
<2597> クソ坊主

//<2598> 代理人
<2598> 代理人

//<2599> 微妙すぎるイケメン
<2599> 微妙すぎるイケメン

//<2600> ロリコン
<2600> ロリコン

//<2601> メガネ仲間
<2601> メガネ仲間

//<2602> 暗算日本記録保持者
<2602> 暗算日本記録保持者

//<2603> 通り魔
<2603> 通り魔

//<2604> 記憶ナシ男
<2604> 記憶ナシ男

//<2605> 音速
<2605> 音速

//<2606> 無限
<2606> 無限

//<2607> エロ侍
<2607> エロ侍

//<2608> エロエロ団ナンバー１
<2608> エロエロ団ナンバー１

//<2609> ただのエロ少年
<2609> ただのエロ少年

//<2610> ユリブサイク
<2610> ユリブサイク

//<2611> ドピュッシー
<2611> ドピュッシー

//<2612> アメリカンエロドッグ
<2612> アメリカンエロドッグ

//<2613> ゼウス
<2613> ゼウス

//<2614> 日向markⅡ
<2614> 日向markⅡ

//<2615> 糞虫
<2615> 糞虫

//<2616> 量産型日向
<2616> 量産型日向

//<2617> ？？
<2617> ？？

//<2618> 「なぜ！？」
<2618> 「なぜ！？」

//<2619> nothing
<2619> nothing

//<2620> nothing
<2620> nothing

//<2621> nothing
<2621> nothing

//<2622> nothing
<2622> nothing

//<2623> nothing
<2623> nothing

//<2624> 日向
<2624> 日向

//<2625> 男Ｂ
<2625> 男Ｂ

//<2626> エロエロ団総帥
<2626> エロエロ団総帥

//<2627> イケチン
<2627> イケチン

//<2628> ホモ太
<2628> ホモ太

//<2629> ひなチン
<2629> ひなチン

//<2630> 秀樹
<2630> 秀樹

//<2631> 男子生徒
<2631> 男子生徒

//<2632> ？？
<2632> ？？

//<2633> 「またお前がイケチンと言ったからだよ」
<2633> 「またお前がイケチンと言ったからだよ」

//<2634> 音無
<2634> 音無

//<2635> クソ坊主
<2635> クソ坊主

//<2636> 代理人
<2636> 代理人

//<2637> 微妙すぎるイケメン
<2637> 微妙すぎるイケメン

//<2638> ロリコン
<2638> ロリコン

//<2639> メガネ仲間
<2639> メガネ仲間

//<2640> 暗算日本記録保持者
<2640> 暗算日本記録保持者

//<2641> 通り魔
<2641> 通り魔

//<2642> 記憶ナシ男
<2642> 記憶ナシ男

//<2643> 音速
<2643> 音速

//<2644> 無限
<2644> 無限

//<2645> エロ侍
<2645> エロ侍

//<2646> エロエロ団ナンバー１
<2646> エロエロ団ナンバー１

//<2647> ただのエロ少年
<2647> ただのエロ少年

//<2648> ユリブサイク
<2648> ユリブサイク

//<2649> ドピュッシー
<2649> ドピュッシー

//<2650> アメリカンエロドッグ
<2650> アメリカンエロドッグ

//<2651> ゼウス
<2651> ゼウス

//<2652> 日向markⅡ
<2652> 日向markⅡ

//<2653> 糞虫
<2653> 糞虫

//<2654> 量産型日向
<2654> 量産型日向

//<2655> ？？
<2655> ？？

//<2656> 「なんてこった！！」
<2656> 「なんてこった！！」

//<2657> 音無
<2657> 音無

//<2658> クソ坊主
<2658> クソ坊主

//<2659> 代理人
<2659> 代理人

//<2660> 微妙すぎるイケメン
<2660> 微妙すぎるイケメン

//<2661> ロリコン
<2661> ロリコン

//<2662> メガネ仲間
<2662> メガネ仲間

//<2663> 暗算日本記録保持者
<2663> 暗算日本記録保持者

//<2664> 通り魔
<2664> 通り魔

//<2665> 記憶ナシ男
<2665> 記憶ナシ男

//<2666> 音速
<2666> 音速

//<2667> 無限
<2667> 無限

//<2668> エロ侍
<2668> エロ侍

//<2669> エロエロ団ナンバー１
<2669> エロエロ団ナンバー１

//<2670> ただのエロ少年
<2670> ただのエロ少年

//<2671> ユリブサイク
<2671> ユリブサイク

//<2672> ドピュッシー
<2672> ドピュッシー

//<2673> アメリカンエロドッグ
<2673> アメリカンエロドッグ

//<2674> ゼウス
<2674> ゼウス

//<2675> 日向markⅡ
<2675> 日向markⅡ

//<2676> 糞虫
<2676> 糞虫

//<2677> 量産型日向
<2677> 量産型日向

//<2678> ？？
<2678> ？？

//<2679> 「歯ぁ食いしばれえぇぇぇぇーーーーーー！」
<2679> 「歯ぁ食いしばれえぇぇぇぇーーーーーー！」

//<2680> 問答無用で殴ってやる。
<2680> 問答無用で殴ってやる。

//<2681> se_punch
<2681> se_punch

//<2682> nothing
<2682> nothing

//<2683> nothing
<2683> nothing

//<2684> nothing
<2684> nothing

//<2685> nothing
<2685> nothing

//<2686> nothing
<2686> nothing

//<2687> 日向
<2687> 日向

//<2688> 男Ｂ
<2688> 男Ｂ

//<2689> エロエロ団総帥
<2689> エロエロ団総帥

//<2690> イケチン
<2690> イケチン

//<2691> ホモ太
<2691> ホモ太

//<2692> ひなチン
<2692> ひなチン

//<2693> 秀樹
<2693> 秀樹

//<2694> 男子生徒
<2694> 男子生徒

//<2695> ？？
<2695> ？？

//<2696> 「ぶほっ！」
<2696> 「ぶほっ！」

//<2697> まだ倒れないので、今度はボディに膝を入れる。
<2697> まだ倒れないので、今度はボディに膝を入れる。

//<2698> se_kneekick
<2698> se_kneekick

//<2699> nothing
<2699> nothing

//<2700> nothing
<2700> nothing

//<2701> nothing
<2701> nothing

//<2702> nothing
<2702> nothing

//<2703> nothing
<2703> nothing

//<2704> 日向
<2704> 日向

//<2705> 男Ｂ
<2705> 男Ｂ

//<2706> エロエロ団総帥
<2706> エロエロ団総帥

//<2707> イケチン
<2707> イケチン

//<2708> ホモ太
<2708> ホモ太

//<2709> ひなチン
<2709> ひなチン

//<2710> 秀樹
<2710> 秀樹

//<2711> 男子生徒
<2711> 男子生徒

//<2712> ？？
<2712> ？？

//<2713> 「うっ…」
<2713> 「うっ…」

//<2714> みごとレバーに入ったのか、苦痛の表情で膝をつく。
<2714> みごとレバーに入ったのか、苦痛の表情で膝をつく。

//<2715> だが、それでも倒れない。
<2715> だが、それでも倒れない。

//<2716> 服の裾を掴み持ち上げ、松下五段から習った支え釣り込み足でその足を刈った。
<2716> 服の裾を掴み持ち上げ、松下五段から習った支え釣り込み足でその足を刈った。

//<2717> nothing
<2717> nothing

//<2718> nothing
<2718> nothing

//<2719> nothing
<2719> nothing

//<2720> nothing
<2720> nothing

//<2721> nothing
<2721> nothing

//<2722> 日向は軽く飛んだ。先にレバーを入れて、無防備になっていたためだろう。
<2722> 日向は軽く飛んだ。先にレバーを入れて、無防備になっていたためだろう。

//<2723> se_fall_human
<2723> se_fall_human

//<2724> 受け身も取れず、床に肩から落ちた。
<2724> 受け身も取れず、床に肩から落ちた。

//<2725> 日向
<2725> 日向

//<2726> 男Ｂ
<2726> 男Ｂ

//<2727> エロエロ団総帥
<2727> エロエロ団総帥

//<2728> イケチン
<2728> イケチン

//<2729> ホモ太
<2729> ホモ太

//<2730> ひなチン
<2730> ひなチン

//<2731> 秀樹
<2731> 秀樹

//<2732> 男子生徒
<2732> 男子生徒

//<2733> ？？
<2733> ？？

//<2734> 「つぅっ…！！」
<2734> 「つぅっ…！！」

//<2735> 今度は大振りのフック。
<2735> 今度は大振りのフック。

//<2736> se_punch2
<2736> se_punch2

//<2737> nothing
<2737> nothing

//<2738> nothing
<2738> nothing

//<2739> nothing
<2739> nothing

//<2740> nothing
<2740> nothing

//<2741> nothing
<2741> nothing

//<2742> 日向
<2742> 日向

//<2743> 男Ｂ
<2743> 男Ｂ

//<2744> エロエロ団総帥
<2744> エロエロ団総帥

//<2745> イケチン
<2745> イケチン

//<2746> ホモ太
<2746> ホモ太

//<2747> ひなチン
<2747> ひなチン

//<2748> 秀樹
<2748> 秀樹

//<2749> 男子生徒
<2749> 男子生徒

//<2750> ？？
<2750> ？？

//<2751> 「ぶっ…！！」
<2751> 「ぶっ…！！」

//<2752> 頬を捉え、脳しんとうを起こさせたか、ようやく前のめりに伏す。
<2752> 頬を捉え、脳しんとうを起こさせたか、ようやく前のめりに伏す。

//<2753> たくさん居るＮＰＣたちも動きを止めて、俺たちのやりとりを見ていた。
<2753> たくさん居るＮＰＣたちも動きを止めて、俺たちのやりとりを見ていた。

//<2754> 声
<2754> 声

//<2755> 「ええぇぇーー！！　どうしちゃったのぉーー！？」
<2755> 「ええぇぇーー！！　どうしちゃったのぉーー！？」

//<2756> nothing
<2756> nothing

//<2757> nothing
<2757> nothing

//<2758> nothing
<2758> nothing

//<2759> nothing
<2759> nothing

//<2760> nothing
<2760> nothing

//<2761> ＮＰＣたちの中を縫って、ひとりのＮＰＣが駆けつける。
<2761> ＮＰＣたちの中を縫って、ひとりのＮＰＣが駆けつける。

//<2762> nothing
<2762> nothing

//<2763> nothing
<2763> nothing

//<2764> nothing
<2764> nothing

//<2765> nothing
<2765> nothing

//<2766> nothing
<2766> nothing

//<2767> 声
<2767> 声

//<2768> 「どうしてこんなことに！？」
<2768> 「どうしてこんなことに！？」

//<2769> 音無
<2769> 音無

//<2770> クソ坊主
<2770> クソ坊主

//<2771> 代理人
<2771> 代理人

//<2772> 微妙すぎるイケメン
<2772> 微妙すぎるイケメン

//<2773> ロリコン
<2773> ロリコン

//<2774> メガネ仲間
<2774> メガネ仲間

//<2775> 暗算日本記録保持者
<2775> 暗算日本記録保持者

//<2776> 通り魔
<2776> 通り魔

//<2777> 記憶ナシ男
<2777> 記憶ナシ男

//<2778> 音速
<2778> 音速

//<2779> 無限
<2779> 無限

//<2780> エロ侍
<2780> エロ侍

//<2781> エロエロ団ナンバー１
<2781> エロエロ団ナンバー１

//<2782> ただのエロ少年
<2782> ただのエロ少年

//<2783> ユリブサイク
<2783> ユリブサイク

//<2784> ドピュッシー
<2784> ドピュッシー

//<2785> アメリカンエロドッグ
<2785> アメリカンエロドッグ

//<2786> ゼウス
<2786> ゼウス

//<2787> 日向markⅡ
<2787> 日向markⅡ

//<2788> 糞虫
<2788> 糞虫

//<2789> 量産型日向
<2789> 量産型日向

//<2790> ？？
<2790> ？？

//<2791> 「ＮＰＣに口出しはさせないぜ…」
<2791> 「ＮＰＣに口出しはさせないぜ…」

//<2792> nothing
<2792> nothing

//<2793> nothing
<2793> nothing

//<2794> nothing
<2794> nothing

//<2795> nothing
<2795> nothing

//<2796> nothing
<2796> nothing

//<2797> 大山
<2797> 大山

//<2798> 「僕、大山だけど…」
<2798> 「僕、大山だけど…」

//<2799> 音無
<2799> 音無

//<2800> クソ坊主
<2800> クソ坊主

//<2801> 代理人
<2801> 代理人

//<2802> 微妙すぎるイケメン
<2802> 微妙すぎるイケメン

//<2803> ロリコン
<2803> ロリコン

//<2804> メガネ仲間
<2804> メガネ仲間

//<2805> 暗算日本記録保持者
<2805> 暗算日本記録保持者

//<2806> 通り魔
<2806> 通り魔

//<2807> 記憶ナシ男
<2807> 記憶ナシ男

//<2808> 音速
<2808> 音速

//<2809> 無限
<2809> 無限

//<2810> エロ侍
<2810> エロ侍

//<2811> エロエロ団ナンバー１
<2811> エロエロ団ナンバー１

//<2812> ただのエロ少年
<2812> ただのエロ少年

//<2813> ユリブサイク
<2813> ユリブサイク

//<2814> ドピュッシー
<2814> ドピュッシー

//<2815> アメリカンエロドッグ
<2815> アメリカンエロドッグ

//<2816> ゼウス
<2816> ゼウス

//<2817> 日向markⅡ
<2817> 日向markⅡ

//<2818> 糞虫
<2818> 糞虫

//<2819> 量産型日向
<2819> 量産型日向

//<2820> ？？
<2820> ？？

//<2821> 「えぇ！？　うわ、ほんとだ！！」
<2821> 「えぇ！？　うわ、ほんとだ！！」

//<2822> 初めて特徴の無さを実感した。制服は違うのに、完全にＮＰＣたちに溶け込んでいた。ようやく最初の紹介が腑に落ちた。
<2822> 初めて特徴の無さを実感した。制服は違うのに、完全にＮＰＣたちに溶け込んでいた。ようやく最初の紹介が腑に落ちた。

//<2823> nothing
<2823> nothing

//<2824> nothing
<2824> nothing

//<2825> nothing
<2825> nothing

//<2826> nothing
<2826> nothing

//<2827> nothing
<2827> nothing

//<2828> nothing
<2828> nothing

//<2829> 倒れていた、日向が起き上がる。
<2829> 倒れていた、日向が起き上がる。

//<2830> 倒れていた、日向が起き上がる。口から出血していた。
<2830> 倒れていた、日向が起き上がる。口から出血していた。

//<2831> nothing
<2831> nothing

//<2832> nothing
<2832> nothing

//<2833> nothing
<2833> nothing

//<2834> nothing
<2834> nothing

//<2835> nothing
<2835> nothing

//<2836> 日向
<2836> 日向

//<2837> 男Ｂ
<2837> 男Ｂ

//<2838> エロエロ団総帥
<2838> エロエロ団総帥

//<2839> イケチン
<2839> イケチン

//<2840> ホモ太
<2840> ホモ太

//<2841> ひなチン
<2841> ひなチン

//<2842> 秀樹
<2842> 秀樹

//<2843> 男子生徒
<2843> 男子生徒

//<2844> ？？
<2844> ？？

//<2845> 「気にするな、大山…全部俺が悪いんだ…自業なんたらなんだ…」
