// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 問題を解き始めると、すらすらと回答欄が埋まっていった。
<0000> 問題を解き始めると、すらすらと回答欄が埋まっていった。
//<4255> nothing
<4255> nothing

//<4256> nothing
<4256> nothing

//<4257> 音無
<4257> 音無

//<4258> クソ坊主
<4258> クソ坊主

//<4259> 代理人
<4259> 代理人

//<4260> 微妙すぎるイケメン
<4260> 微妙すぎるイケメン

//<4261> ロリコン
<4261> ロリコン

//<4262> メガネ仲間
<4262> メガネ仲間

//<4263> 暗算日本記録保持者
<4263> 暗算日本記録保持者

//<4264> 通り魔
<4264> 通り魔

//<4265> 記憶ナシ男
<4265> 記憶ナシ男

//<4266> 音速
<4266> 音速

//<4267> 無限
<4267> 無限

//<4268> エロ侍
<4268> エロ侍

//<4269> エロエロ団ナンバー１
<4269> エロエロ団ナンバー１

//<4270> ただのエロ少年
<4270> ただのエロ少年

//<4271> ユリブサイク
<4271> ユリブサイク

//<4272> ドピュッシー
<4272> ドピュッシー

//<4273> アメリカンエロドッグ
<4273> アメリカンエロドッグ

//<4274> ゼウス
<4274> ゼウス

//<4275> 日向markⅡ
<4275> 日向markⅡ

//<4276> 糞虫
<4276> 糞虫

//<4277> 量産型日向
<4277> 量産型日向

//<4278> ？？
<4278> ？？

//<4279> 「そんなので乱れるのか、ゆり！？」
<4279> 「そんなので乱れるのか、ゆり！？」

//<4280> nothing
<4280> nothing

//<4281> nothing
<4281> nothing

//<4282> nothing
<4282> nothing

//<4283> nothing
<4283> nothing

//<4284> nothing
<4284> nothing

//<4285> 俺はゆりに向けて訴える。
<4285> 俺はゆりに向けて訴える。

//<4286> nothing
<4286> nothing

//<4287> nothing
<4287> nothing

//<4288> nothing
<4288> nothing

//<4289> nothing
<4289> nothing

//<4290> nothing
<4290> nothing

//<4291> ゆり
<4291> ゆり

//<4292> 女生徒
<4292> 女生徒

//<4293> ？？
<4293> ？？

//<4294> 「性癖は自由だけど、作戦中は抑えておいて。不謹慎よ」
<4294> 「性癖は自由だけど、作戦中は抑えておいて。不謹慎よ」

//<4295> 音無
<4295> 音無

//<4296> クソ坊主
<4296> クソ坊主

//<4297> 代理人
<4297> 代理人

//<4298> 微妙すぎるイケメン
<4298> 微妙すぎるイケメン

//<4299> ロリコン
<4299> ロリコン

//<4300> メガネ仲間
<4300> メガネ仲間

//<4301> 暗算日本記録保持者
<4301> 暗算日本記録保持者

//<4302> 通り魔
<4302> 通り魔

//<4303> 記憶ナシ男
<4303> 記憶ナシ男

//<4304> 音速
<4304> 音速

//<4305> 無限
<4305> 無限

//<4306> エロ侍
<4306> エロ侍

//<4307> エロエロ団ナンバー１
<4307> エロエロ団ナンバー１

//<4308> ただのエロ少年
<4308> ただのエロ少年

//<4309> ユリブサイク
<4309> ユリブサイク

//<4310> ドピュッシー
<4310> ドピュッシー

//<4311> アメリカンエロドッグ
<4311> アメリカンエロドッグ

//<4312> ゼウス
<4312> ゼウス

//<4313> 日向markⅡ
<4313> 日向markⅡ

//<4314> 糞虫
<4314> 糞虫

//<4315> 量産型日向
<4315> 量産型日向

//<4316> ？？
<4316> ？？

//<4317> 「くっ…そっか…だよな…その通りだ…」
<4317> 「くっ…そっか…だよな…その通りだ…」

//<4318> nothing
<4318> nothing

//<4319> nothing
<4319> nothing

//<4320> nothing
<4320> nothing

//<4321> nothing
<4321> nothing

//<4322> nothing
<4322> nothing

//<4323> nothing
<4323> nothing

//<4324> 屈服する。
<4324> 屈服する。

//<4325> 黙って頷いた。
<4325> 黙って頷いた。

//<4326> nothing
<4326> nothing

//<4327> nothing
<4327> nothing

//<4328> nothing
<4328> nothing

//<4329> nothing
<4329> nothing

//<4330> nothing
<4330> nothing

//<4331> 大山
<4331> 大山

//<4332> 「まさか…ええと…今はなんてあだ名だっけ？」
<4332> 「まさか…ええと…今はなんてあだ名だっけ？」

//<4333> 音無
<4333> 音無

//<4334> クソ坊主
<4334> クソ坊主

//<4335> 代理人
<4335> 代理人

//<4336> 微妙すぎるイケメン
<4336> 微妙すぎるイケメン

//<4337> ロリコン
<4337> ロリコン

//<4338> メガネ仲間
<4338> メガネ仲間

//<4339> 暗算日本記録保持者
<4339> 暗算日本記録保持者

//<4340> 通り魔
<4340> 通り魔

//<4341> 記憶ナシ男
<4341> 記憶ナシ男

//<4342> 音速
<4342> 音速

//<4343> 無限
<4343> 無限

//<4344> エロ侍
<4344> エロ侍

//<4345> エロエロ団ナンバー１
<4345> エロエロ団ナンバー１

//<4346> ただのエロ少年
<4346> ただのエロ少年

//<4347> ユリブサイク
<4347> ユリブサイク

//<4348> ドピュッシー
<4348> ドピュッシー

//<4349> アメリカンエロドッグ
<4349> アメリカンエロドッグ

//<4350> ゼウス
<4350> ゼウス

//<4351> 日向markⅡ
<4351> 日向markⅡ

//<4352> 糞虫
<4352> 糞虫

//<4353> 量産型日向
<4353> 量産型日向

//<4354> ？？
<4354> ？？

//<4355> 「糞虫だ」
<4355> 「糞虫だ」

//<4356> nothing
<4356> nothing

//<4357> nothing
<4357> nothing

//<4358> nothing
<4358> nothing

//<4359> nothing
<4359> nothing

//<4360> nothing
<4360> nothing

//<4361> 大山
<4361> 大山

//<4362> 「糞虫くんが、そんな性癖持ちだったなんて…驚きだよ…」
<4362> 「糞虫くんが、そんな性癖持ちだったなんて…驚きだよ…」

//<4363> nothing
<4363> nothing

//<4364> nothing
<4364> nothing

//<4365> nothing
<4365> nothing

//<4366> nothing
<4366> nothing

//<4367> nothing
<4367> nothing

//<4368> 大山
<4368> 大山

//<4369> 「まさか…ええと…今はなんてあだ名だっけ？」
<4369> 「まさか…ええと…今はなんてあだ名だっけ？」

//<4370> 音無
<4370> 音無

//<4371> クソ坊主
<4371> クソ坊主

//<4372> 代理人
<4372> 代理人

//<4373> 微妙すぎるイケメン
<4373> 微妙すぎるイケメン

//<4374> ロリコン
<4374> ロリコン

//<4375> メガネ仲間
<4375> メガネ仲間

//<4376> 暗算日本記録保持者
<4376> 暗算日本記録保持者

//<4377> 通り魔
<4377> 通り魔

//<4378> 記憶ナシ男
<4378> 記憶ナシ男

//<4379> 音速
<4379> 音速

//<4380> 無限
<4380> 無限

//<4381> エロ侍
<4381> エロ侍

//<4382> エロエロ団ナンバー１
<4382> エロエロ団ナンバー１

//<4383> ただのエロ少年
<4383> ただのエロ少年

//<4384> ユリブサイク
<4384> ユリブサイク

//<4385> ドピュッシー
<4385> ドピュッシー

//<4386> アメリカンエロドッグ
<4386> アメリカンエロドッグ

//<4387> ゼウス
<4387> ゼウス

//<4388> 日向markⅡ
<4388> 日向markⅡ

//<4389> 糞虫
<4389> 糞虫

//<4390> 量産型日向
<4390> 量産型日向

//<4391> ？？
<4391> ？？

//<4392> 「量産型日向だ」
<4392> 「量産型日向だ」

//<4393> nothing
<4393> nothing

//<4394> nothing
<4394> nothing

//<4395> nothing
<4395> nothing

//<4396> nothing
<4396> nothing

//<4397> nothing
<4397> nothing

//<4398> 大山
<4398> 大山

//<4399> 「量産型日向くんが、そんな性癖持ちだったなんて…驚きだよ…」
<4399> 「量産型日向くんが、そんな性癖持ちだったなんて…驚きだよ…」

//<4400> nothing
<4400> nothing

//<4401> nothing
<4401> nothing

//<4402> nothing
<4402> nothing

//<4403> nothing
<4403> nothing

//<4404> nothing
<4404> nothing

//<4405> 大山
<4405> 大山

//<4406> 「音無くんが、そんな性癖持ちだったなんて…驚きだよ…」
<4406> 「音無くんが、そんな性癖持ちだったなんて…驚きだよ…」

//<4407> 音無
<4407> 音無

//<4408> クソ坊主
<4408> クソ坊主

//<4409> 代理人
<4409> 代理人

//<4410> 微妙すぎるイケメン
<4410> 微妙すぎるイケメン

//<4411> ロリコン
<4411> ロリコン

//<4412> メガネ仲間
<4412> メガネ仲間

//<4413> 暗算日本記録保持者
<4413> 暗算日本記録保持者

//<4414> 通り魔
<4414> 通り魔

//<4415> 記憶ナシ男
<4415> 記憶ナシ男

//<4416> 音速
<4416> 音速

//<4417> 無限
<4417> 無限

//<4418> エロ侍
<4418> エロ侍

//<4419> エロエロ団ナンバー１
<4419> エロエロ団ナンバー１

//<4420> ただのエロ少年
<4420> ただのエロ少年

//<4421> ユリブサイク
<4421> ユリブサイク

//<4422> ドピュッシー
<4422> ドピュッシー

//<4423> アメリカンエロドッグ
<4423> アメリカンエロドッグ

//<4424> ゼウス
<4424> ゼウス

//<4425> 日向markⅡ
<4425> 日向markⅡ

//<4426> 糞虫
<4426> 糞虫

//<4427> 量産型日向
<4427> 量産型日向

//<4428> ？？
<4428> ？？

//<4429> 「言ってない」
<4429> 「言ってない」

//<4430> nothing
<4430> nothing

//<4431> nothing
<4431> nothing

//<4432> nothing
<4432> nothing

//<4433> nothing
<4433> nothing

//<4434> nothing
<4434> nothing

//<4435> 日向
<4435> 日向

//<4436> 男Ｂ
<4436> 男Ｂ

//<4437> エロエロ団総帥
<4437> エロエロ団総帥

//<4438> イケチン
<4438> イケチン

//<4439> ホモ太
<4439> ホモ太

//<4440> ひなチン
<4440> ひなチン

//<4441> 秀樹
<4441> 秀樹

//<4442> 男子生徒
<4442> 男子生徒

//<4443> ？？
<4443> ？？

//<4444> 「あれ？　空耳だったのか…？」
<4444> 「あれ？　空耳だったのか…？」

//<4445> 音無
<4445> 音無

//<4446> クソ坊主
<4446> クソ坊主

//<4447> 代理人
<4447> 代理人

//<4448> 微妙すぎるイケメン
<4448> 微妙すぎるイケメン

//<4449> ロリコン
<4449> ロリコン

//<4450> メガネ仲間
<4450> メガネ仲間

//<4451> 暗算日本記録保持者
<4451> 暗算日本記録保持者

//<4452> 通り魔
<4452> 通り魔

//<4453> 記憶ナシ男
<4453> 記憶ナシ男

//<4454> 音速
<4454> 音速

//<4455> 無限
<4455> 無限

//<4456> エロ侍
<4456> エロ侍

//<4457> エロエロ団ナンバー１
<4457> エロエロ団ナンバー１

//<4458> ただのエロ少年
<4458> ただのエロ少年

//<4459> ユリブサイク
<4459> ユリブサイク

//<4460> ドピュッシー
<4460> ドピュッシー

//<4461> アメリカンエロドッグ
<4461> アメリカンエロドッグ

//<4462> ゼウス
<4462> ゼウス

//<4463> 日向markⅡ
<4463> 日向markⅡ

//<4464> 糞虫
<4464> 糞虫

//<4465> 量産型日向
<4465> 量産型日向

//<4466> ？？
<4466> ？？

//<4467> 「ああ。俺は何も言っていない」
<4467> 「ああ。俺は何も言っていない」

//<4468> nothing
<4468> nothing

//<4469> nothing
<4469> nothing

//<4470> nothing
<4470> nothing

//<4471> nothing
<4471> nothing

//<4472> nothing
<4472> nothing

//<4473> 日向
<4473> 日向

//<4474> 男Ｂ
<4474> 男Ｂ

//<4475> エロエロ団総帥
<4475> エロエロ団総帥

//<4476> イケチン
<4476> イケチン

//<4477> ホモ太
<4477> ホモ太

//<4478> ひなチン
<4478> ひなチン

//<4479> 秀樹
<4479> 秀樹

//<4480> 男子生徒
<4480> 男子生徒

//<4481> ？？
<4481> ？？

//<4482> 「だったらいいんだどさ…」
<4482> 「だったらいいんだどさ…」

//<4483> nothing
<4483> nothing

//<4484> nothing
<4484> nothing

//<4485> nothing
<4485> nothing

//<4486> nothing
<4486> nothing

//<4487> nothing
<4487> nothing

//<4488> 日向
<4488> 日向

//<4489> 男Ｂ
<4489> 男Ｂ

//<4490> エロエロ団総帥
<4490> エロエロ団総帥

//<4491> イケチン
<4491> イケチン

//<4492> ホモ太
<4492> ホモ太

//<4493> ひなチン
<4493> ひなチン

//<4494> 秀樹
<4494> 秀樹

//<4495> 男子生徒
<4495> 男子生徒

//<4496> ？？
<4496> ？？

//<4497> 「ほんと、無茶が過ぎるぜ…」
<4497> 「ほんと、無茶が過ぎるぜ…」

//<4498> 高松
<4498> 高松

//<4499> 「私の着やせするタイプのこの肉体が負けるなんて…」
<4499> 「私の着やせするタイプのこの肉体が負けるなんて…」

//<4500> nothing
<4500> nothing

//<4501> nothing
<4501> nothing

//<4502> nothing
<4502> nothing

//<4503> nothing
<4503> nothing

//<4504> nothing
<4504> nothing

//<4505> 日向
<4505> 日向

//<4506> 男Ｂ
<4506> 男Ｂ

//<4507> エロエロ団総帥
<4507> エロエロ団総帥

//<4508> イケチン
<4508> イケチン

//<4509> ホモ太
<4509> ホモ太

//<4510> ひなチン
<4510> ひなチン

//<4511> 秀樹
<4511> 秀樹

//<4512> 男子生徒
<4512> 男子生徒

//<4513> ？？
<4513> ？？

//<4514> 「わかったから、お前は早く上着着ろよ…」
<4514> 「わかったから、お前は早く上着着ろよ…」

//<4515> nothing
<4515> nothing

//<4516> nothing
<4516> nothing

//<4517> nothing
<4517> nothing

//<4518> nothing
<4518> nothing

//<4519> nothing
<4519> nothing

//<4520> ゆり
<4520> ゆり

//<4521> 女生徒
<4521> 女生徒

//<4522> ？？
<4522> ？？

//<4523> 「では、みんな。お昼にしましょっ」
<4523> 「では、みんな。お昼にしましょっ」

//<4524> se_chair_standup2
<4524> se_chair_standup2

//<4525> 大山
<4525> 大山

//<4526> 「立華さん！！」
<4526> 「立華さん！！」

//<4527> 大山が唐突に立ち上がっていた。
<4527> 大山が唐突に立ち上がっていた。

//<4528> 大山
<4528> 大山

//<4529> 「こんな時に場所も選ばず、ごめんなさい！　あなたのことがずっと好きでした！　付き合ってください！」
<4529> 「こんな時に場所も選ばず、ごめんなさい！　あなたのことがずっと好きでした！　付き合ってください！」

//<4530> 天使に向けて告白した。
<4530> 天使に向けて告白した。

//<4531> 天使
<4531> 天使

//<4532> かなで
<4532> かなで

//<4533> 女生徒
<4533> 女生徒

//<4534> ？？
<4534> ？？

//<4535> 「じゃあ、時と場所を選んで」
<4535> 「じゃあ、時と場所を選んで」

//<4536> 天使
<4536> 天使

//<4537> かなで
<4537> かなで

//<4538> 女生徒
<4538> 女生徒

//<4539> ？？
<4539> ？？

//<4540> 「あら、あたしだったの」
<4540> 「あら、あたしだったの」

//<4541> 天使
<4541> 天使

//<4542> かなで
<4542> かなで

//<4543> 女生徒
<4543> 女生徒

//<4544> ？？
<4544> ？？

//<4545> 「じゃあ、時と場所を選んで」
<4545> 「じゃあ、時と場所を選んで」

//<4546> nothing
<4546> nothing

//<4547> nothing
<4547> nothing

//<4548> nothing
<4548> nothing

//<4549> nothing
<4549> nothing

//<4550> nothing
<4550> nothing

//<4551> 天使
<4551> 天使

//<4552> かなで
<4552> かなで

//<4553> 女生徒
<4553> 女生徒

//<4554> ？？
<4554> ？？

//<4555> 「？？」
<4555> 「？？」

//<4556> nothing
<4556> nothing

//<4557> nothing
<4557> nothing

//<4558> nothing
<4558> nothing

//<4559> nothing
<4559> nothing

//<4560> 天使
<4560> 天使

//<4561> かなで
<4561> かなで

//<4562> 女生徒
<4562> 女生徒

//<4563> ？？
<4563> ？？

//<4564> 「小柄で自分より背が低くて天然な人と、スレンダーなクールビューティー、それは同一人物なの？」
<4564> 「小柄で自分より背が低くて天然な人と、スレンダーなクールビューティー、それは同一人物なの？」

//<4565> nothing
<4565> nothing

//<4566> nothing
<4566> nothing

//<4567> nothing
<4567> nothing

//<4568> nothing
<4568> nothing

//<4569> nothing
<4569> nothing

//<4570> 大山
<4570> 大山

//<4571> 「見る人によっては…」
<4571> 「見る人によっては…」

//<4572> 苦しい言い訳だ…。
<4572> 苦しい言い訳だ…。

//<4573> nothing
<4573> nothing

//<4574> nothing
<4574> nothing

//<4575> nothing
<4575> nothing

//<4576> nothing
<4576> nothing

//<4577> nothing
<4577> nothing

//<4578> 天使
<4578> 天使

//<4579> かなで
<4579> かなで

//<4580> 女生徒
<4580> 女生徒

//<4581> ？？
<4581> ？？

//<4582> 「スレンダーなクールビューティー…」
<4582> 「スレンダーなクールビューティー…」

//<4583> nothing
<4583> nothing

//<4584> nothing
<4584> nothing

//<4585> nothing
<4585> nothing

//<4586> nothing
<4586> nothing

//<4587> nothing
<4587> nothing

//<4588> 自分の体を手で触り、確かめている。
<4588> 自分の体を手で触り、確かめている。

//<4589> nothing
<4589> nothing

//<4590> nothing
<4590> nothing

//<4591> nothing
<4591> nothing

//<4592> nothing
<4592> nothing

//<4593> nothing
<4593> nothing

//<4594> 天使
<4594> 天使

//<4595> かなで
<4595> かなで

//<4596> 女生徒
<4596> 女生徒

//<4597> ？？
<4597> ？？

//<4598> 「なんだか、嬉しいわ」
<4598> 「なんだか、嬉しいわ」

//<4599> 素直な感想が漏れ出た！
<4599> 素直な感想が漏れ出た！

//<4600> 音無
<4600> 音無

//<4601> クソ坊主
<4601> クソ坊主

//<4602> 代理人
<4602> 代理人

//<4603> 微妙すぎるイケメン
<4603> 微妙すぎるイケメン

//<4604> ロリコン
<4604> ロリコン

//<4605> メガネ仲間
