// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 駐車場に行くと、腕立て伏せをしているユイがいた。
<0000> 駐車場に行くと、腕立て伏せをしているユイがいた。

//<3288> yi0510_03
<3288> yi0510_03

//<3289> yi0511_03
<3289> yi0511_03

//<3290> yi0702_0300a0
<3290> yi0702_0300a0

//<3291> sys_bk_selline00
<3291> sys_bk_selline00

//<3292> yi0711_02
<3292> yi0711_02

//<3293> yi0703
<3293> yi0703

//<3294> yi0701_081300
<3294> yi0701_081300

//<3295> yi0703
<3295> yi0703

//<3296> yi0714_03
<3296> yi0714_03

//<3297> yi0407_080200
<3297> yi0407_080200

//<3298> yi0407_13
<3298> yi0407_13

//<3299> yi0716
<3299> yi0716

//<3300> yi0407
<3300> yi0407

//<3301> m114
<3301> m114
{377a4} 0a // 3301

//<3302> ep04_bg047
<3302> ep04_bg047

//<3303> yi0106
<3303> yi0106

//<3304> bg_kuro
<3304> bg_kuro

//<3305> ep99_bg011
<3305> ep99_bg011

//<3306> yi0109
<3306> yi0109

//<3307> m118
<3307> m118

//<3308> yi0109
<3308> yi0109

//<3309> yi0408
<3309> yi0408

//<3310> yi0410_0800a0
<3310> yi0410_0800a0

//<3311> yi040700o0
<3311> yi040700o0

//<3312> bg_siro
<3312> bg_siro

//<3313> m205
<3313> m205

//<3314> ep99_bg011
<3314> ep99_bg011

//<3315> bs3_yi0212
<3315> bs3_yi0212

//<3316> ep99_bg011
<3316> ep99_bg011

//<3317> bs3_yi0212_11
<3317> bs3_yi0212_11

//<3318> bs3_yi0212_11
<3318> bs3_yi0212_11

//<3319> bs3_yi0212_11
<3319> bs3_yi0212_11

//<3320> bs3_yi0212_11
<3320> bs3_yi0212_11

//<3321> bs3_yi0212_11
<3321> bs3_yi0212_11

//<3322> bs3_yi0212_11
<3322> bs3_yi0212_11

//<3323> yi0212_16
<3323> yi0212_16

//<3324> yi0702_03
<3324> yi0702_03

//<3325> yi0214
<3325> yi0214

//<3326> yi0105
<3326> yi0105

//<3327> ep99_bg011
<3327> ep99_bg011

//<3328> bs3_yi0212
<3328> bs3_yi0212

//<3329> ep99_bg011
<3329> ep99_bg011

//<3330> bs3_yi0212_11
<3330> bs3_yi0212_11

//<3331> bs3_yi0212_11
<3331> bs3_yi0212_11

//<3332> bs3_yi0212_11
<3332> bs3_yi0212_11

//<3333> bs3_yi0212_11
<3333> bs3_yi0212_11

//<3334> bs3_yi0212_11
<3334> bs3_yi0212_11

//<3335> bs3_yi0212_11
<3335> bs3_yi0212_11

//<3336> yi0216
<3336> yi0216

//<3337> yi0212_11
<3337> yi0212_11

//<3338> yi0209
<3338> yi0209

//<3339> yi0212_11
<3339> yi0212_11

//<3340> ep99_bg011
<3340> ep99_bg011

//<3341> bs3_yi0212
<3341> bs3_yi0212

//<3342> ep99_bg011
<3342> ep99_bg011

//<3343> bs3_yi0212_11
<3343> bs3_yi0212_11

//<3344> bs3_yi0212_11
<3344> bs3_yi0212_11

//<3345> bs3_yi0212_11
<3345> bs3_yi0212_11

//<3346> bs3_yi0212_11
<3346> bs3_yi0212_11

//<3347> bs3_yi0212_11
<3347> bs3_yi0212_11

//<3348> bs3_yi0212_11
<3348> bs3_yi0212_11

//<3349> yi0212_16
<3349> yi0212_16

//<3350> yi0102_03
<3350> yi0102_03

//<3351> yi0205_12
<3351> yi0205_12

//<3352> yi0109
<3352> yi0109

//<3353> yi0103
<3353> yi0103

//<3354> bs3_yi01070600
<3354> bs3_yi01070600

//<3355> ep99_bg011
<3355> ep99_bg011

//<3356> m118
<3356> m118

//<3357> yi0109
<3357> yi0109

//<3358> yi0407
<3358> yi0407

//<3359> yi0404
<3359> yi0404

//<3360> yi070311a0
<3360> yi070311a0

//<3361> yi0101
<3361> yi0101

//<3362> yi010610d0
<3362> yi010610d0

//<3363> bs1_yi021600a0
<3363> bs1_yi021600a0

//<3364> bs1_yi0209
<3364> bs1_yi0209

//<3365> yi0107
<3365> yi0107

//<3366> m302
<3366> m302
{5247b} 0a // 3366

//<3367> yi0116
<3367> yi0116

//<3368> yi0108
<3368> yi0108

//<3369> yi0104_03
<3369> yi0104_03

//<3370> yi0102_12
<3370> yi0102_12

//<3371> yi010300a0
<3371> yi010300a0

//<3372> ep04_bg047
<3372> ep04_bg047

//<3373> yi0114
<3373> yi0114

//<3374> yi0212_03
<3374> yi0212_03

//<3375> yi0107
<3375> yi0107

//<3376> bs1_yi0405
<3376> bs1_yi0405

//<3377> bs1_yi0405
<3377> bs1_yi0405

//<3378> yi010706g0
<3378> yi010706g0

//<3379> bg_kuro
<3379> bg_kuro

